k,Cross Validation Score
1,0.061033333333333335
2,0.061033333333333335
3,0.05531666666666667
4,0.053816666666666665
5,0.0547
6,0.05385
7,0.055466666666666664
8,0.05535
9,0.05703333333333333
10,0.05683333333333333
11,0.05826666666666667
12,0.05853333333333333
13,0.059166666666666666
14,0.05965
15,0.05996666666666667
16,0.0602
17,0.06113333333333333
18,0.0609
19,0.06225
20,0.0622
